datetime,FST_Thermocouple_Handheld,AirTemp,SolarA,dp,ws,SolarB,treatment,date,FruitSize(mm),FST_SolarA_WeatherBased,FST_SolarB_WeatherBAsed
7/12/2022 16:19,28.53333333,30.2,314,25.30819571,0.42,102,Fogging,7/12/2022,56,45.57,42.45
7/12/2022 16:20,29.8,30.1,240,25.00924358,0.39,81,Fogging,7/12/2022,56,44.7,42.3
7/12/2022 16:21,30.1,30,296,25.11543033,0.39,98,Fogging,7/12/2022,56,45.46,42.46
7/12/2022 16:22,31.3,30,351,25.2714141,0.39,115,Fogging,7/12/2022,56,46.31,42.75
7/12/2022 17:37,29.7,29.8,459,26.19777863,0.45,275,Fogging,7/12/2022,56,46.99,44.36
7/12/2022 17:38,29.15,29.7,460,25.91142108,0.47,238,Fogging,7/12/2022,56,46.59,43.46
7/12/2022 17:40,28.7,29.7,461,26.34967246,0.46,178,Fogging,7/12/2022,56,46.81,42.78
7/12/2022 17:41,29,29.7,459,26.12134383,0.47,173,Fogging,7/12/2022,56,46.61,42.57
7/12/2022 17:42,30.2,29.6,455,25.49526713,0.47,158,Fogging,7/12/2022,56,46.35,42.15
7/12/2022 17:43,28.56666667,29.6,451,25.55948199,0.47,138,Fogging,7/12/2022,56,46.31,41.87
7/12/2022 17:44,27.2,29.5,448,25.44111626,0.47,142,Fogging,7/12/2022,56,46.14,41.8
7/12/2022 17:45,28.85,29.6,446,25.77200719,0.46,141,Fogging,7/12/2022,56,46.4,42.05
7/12/2022 17:46,29.3,29.5,444,26.00987506,0.48,133,Fogging,7/12/2022,56,46.05,41.67
7/12/2022 17:47,30.95,29.5,437,26.29835767,0.48,126,Fogging,7/12/2022,56,46,41.62
7/13/2022 13:24,26.23333333,27.2,929,21.35682457,0.22,127,Fogging,7/13/2022,56,56.25,41.83
7/13/2022 13:26,26.7,27.2,846,20.93471746,0.17,119,Fogging,7/13/2022,56,56.88,42.8
7/13/2022 13:28,29.45,27.1,878,21.02803382,0.15,123,Fogging,7/13/2022,56,58.48,43.39
7/13/2022 13:29,26.2,27.1,923,20.43206341,0.08,128,Fogging,7/13/2022,56,64.74,46.39
7/13/2022 15:18,26.53333333,26.5,272,23.70646994,0.26,82,Fogging,7/13/2022,56,43.28,39.95
7/13/2022 15:19,26.1,26.4,276,23.72603306,0.27,84,Fogging,7/13/2022,56,43.04,39.72
7/13/2022 15:20,27.15,26.4,281,23.82336691,0.26,85,Fogging,7/13/2022,56,43.35,39.92
7/13/2022 15:21,24.6,26.4,312,23.84277426,0.27,90,Fogging,7/13/2022,56,43.67,39.84
